Time,Close,MACD,ATR,RSI,USD_INR_Price,VIX,Yield_1_year_bond,Yield_10_year_bond,Yield_30_year_bond
2010-02-19,4844.89,23.61026784828725,84.71414389668028,42.309079326497674,46.18,30.45,5.021,7.885,8.452
2010-02-22,4856.39,23.096611152381,83.46027647548883,43.465082618098585,46.099998,31.8,5.017,7.846,8.452
2010-02-23,4870.05,23.240532692807577,81.13882815581105,44.877991569042024,46.268002,31.09,5.065,7.799,8.452
2010-02-24,4858.6,22.13363551384697,78.62248328753883,43.8878859015013,46.287998,30.55,5.06,7.799,8.463
2010-02-25,4859.75,21.05443030473438,76.18802019557177,44.02146751345555,46.299999,29.71,5.036,7.823,8.463
2010-02-26,4922.3,23.91957285907108,80.28530446731666,50.87212403208004,45.900002,25.24,5.034,7.864,8.469
2010-03-02,5017.0,31.10398101646051,82.20421129107974,59.04421648568746,46.028,22.82,5.078,7.944,8.469
2010-03-03,5088.1,39.04201349796007,81.91462477028831,63.899580912601195,45.549999,21.3,5.127,7.952,8.469
2010-03-04,5080.25,41.90888912147031,79.48858014383914,63.01138179723888,45.669998,21.24,5.175,7.945,8.469
2010-03-05,5088.7,42.39168459818082,77.42439584785065,63.59793855198609,45.450001,21.0,5.163,7.973,8.469
2010-03-08,5124.0,42.97176093886125,76.06551043014709,66.02199374866157,45.400002,20.82,5.159,8.01,8.464
2010-03-09,5101.5,39.79580017599326,73.30725968513657,63.136059099634394,45.549999,20.96,5.155,7.97,8.464
2010-03-10,5116.25,36.71862253310957,71.3095982790554,64.23961473265064,45.310001,20.25,5.15,7.978,8.464
2010-03-11,5133.39,33.93350602127889,69.82319840198001,65.53091060207524,45.450001,20.53,5.146,8.0,8.464
2010-03-12,5137.0,30.536653862246787,67.40725565898144,65.81093243686749,45.498001,19.82,5.134,8.015,8.464
2010-03-15,5128.89,26.11690402302137,66.15316596905423,64.54238866769239,45.557999,20.43,5.18,8.005,8.464
2010-03-17,5231.89,26.684622616377766,68.53609718760288,72.08702243001078,45.279999,19.04,5.116,7.965,8.464
2010-03-18,5245.9,26.154768803001048,66.58780453134548,72.97191532052793,45.389999,19.26,5.061,7.912,8.464
2010-03-19,5262.8,25.118196257432004,64.17796135053506,74.04098497381835,45.25,18.94,5.047,7.831,8.458
2010-03-22,5205.2,19.006695668416135,65.00453553978255,64.65436861739136,45.470001,20.21,5.098,7.855,8.469
2010-03-23,5225.3,14.950015833658306,63.947783001226654,66.26174560521902,45.400002,18.42,5.094,7.863,8.458
2010-03-25,5260.4,13.317106546563892,63.97651278685335,68.91978695079891,45.487999,17.84,5.085,7.875,8.453
2010-03-26,5282.0,12.397078644457281,61.78890473064956,70.46202414456961,45.110001,18.23,5.015,7.856,8.448
2010-03-29,5302.85,11.895981668790995,63.618982964174585,71.91093434625816,44.799999,19.48,4.953,7.762,8.448
2010-03-30,5262.45,7.74778555590153,64.33548418101923,65.2337540916894,44.939999,19.89,5.18,7.769,8.459
2010-03-31,5249.1,3.239722690427641,63.93723531094638,63.14716649869915,44.799999,19.82,5.159,7.85,8.459
2010-04-05,5368.4,5.787733349083524,64.63057534464255,72.15059618208781,44.360001,17.5,5.154,7.811,8.459
2010-04-06,5366.0,6.886086483748116,62.65339139145379,71.7611185761516,44.34,17.3,5.034,7.795,8.459
2010-04-07,5374.65,7.0742686864957705,62.07814914920705,72.34064620589348,44.400002,17.5,4.97,7.796,8.459
2010-04-08,5304.45,1.6339620786979197,64.31542420997795,61.3387559586904,44.34,19.57,4.965,7.863,8.459
2010-04-09,5361.75,1.084045595117928,65.09289390926521,65.89776043332313,44.119999,18.6,4.95,8.013,8.459
2010-04-12,5339.7,-1.4382439535624059,64.53268720146056,62.827450041541205,44.34,19.97,5.063,8.029,8.459
2010-04-13,5322.95,-4.723044475072967,63.83749525849911,60.520669639816525,44.577999,20.1,5.177,8.057,8.459
2010-04-15,5273.6,-10.38326849757209,66.9812455971777,54.20586228762512,44.290001,21.43,5.168,8.079,8.459
2010-04-16,5262.6,-14.764570677921256,65.44687091166502,52.88137042579931,44.318001,21.63,5.215,8.088,8.459
2010-04-19,5203.64,-21.14163803794581,69.21209441797465,46.3447528111939,44.728001,22.72,5.21,8.077,8.581
2010-04-20,5230.1,-22.935825026671807,68.09765910240502,49.36943796907103,44.389999,20.82,5.145,7.984,8.57
2010-04-21,5244.9,-22.45533571254814,65.81925488080465,51.032218618377115,44.400002,19.78,5.092,8.008,8.575
2010-04-22,5269.35,-19.907290695242665,69.0250223893186,53.73538629168358,44.439999,20.53,4.953,7.992,8.564
2010-04-23,5304.1,-15.494219868999274,67.07323507579582,57.339887556415505,44.290001,20.35,4.912,8.058,8.564
