Time,Close,MACD,ATR,RSI,USD_INR_Price,VIX,Yield_1_year_bond,Yield_10_year_bond,Yield_30_year_bond
2010-02-19,8487.1,41.59636797135656,171.83948441832922,45.73436330128034,46.18,30.45,5.021,7.885,8.452
2010-02-22,8493.35,41.713942758145066,168.50094981702003,46.01007339840564,46.099998,31.8,5.017,7.846,8.452
2010-02-23,8512.95,42.18489072629089,165.35802483009002,46.92085123789996,46.268002,31.09,5.065,7.799,8.452
2010-02-24,8504.54,40.96895762521656,158.46816591365499,46.55792535209784,46.287998,30.55,5.06,7.799,8.463
2010-02-25,8537.79,41.32472870571206,153.241868348394,48.26182307237537,46.299999,29.71,5.036,7.823,8.463
2010-02-26,8722.75,52.23455377224677,165.46102060922297,56.559008438095766,45.900002,25.24,5.034,7.864,8.469
2010-03-02,8922.1,69.98682742193346,169.56023342284993,63.376209046597054,46.028,22.82,5.078,7.944,8.469
2010-03-03,9039.45,85.70464919470254,166.3630738926463,66.69005140003611,45.549999,21.3,5.127,7.952,8.469
2010-03-04,9013.79,90.00145942075646,161.88714004317163,65.29871726781738,45.669998,21.24,5.175,7.945,8.469
2010-03-05,9038.45,89.92072829076173,159.43091575437367,66.03214877961514,45.450001,21.0,5.163,7.973,8.469
2010-03-08,9145.95,92.1821788468899,158.04942177191842,69.09831871526713,45.400002,20.82,5.159,8.01,8.464
2010-03-09,9138.2,88.22802694614094,154.15303450249567,68.61743447517686,45.549999,20.96,5.155,7.97,8.464
2010-03-10,9119.25,79.66949166335269,148.999246323746,67.3825880562687,45.310001,20.25,5.15,7.978,8.464
2010-03-11,9186.85,74.01550655669952,147.77430015776417,69.49178636420604,45.450001,20.53,5.146,8.0,8.464
2010-03-12,9172.9,65.10540167644932,143.24756443220957,68.50728378241644,45.498001,19.82,5.134,8.015,8.464
2010-03-15,9085.5,49.78571063740608,141.35488125848033,62.530127564925515,45.557999,20.43,5.18,8.005,8.464
2010-03-17,9188.4,32.86162132664279,139.28487210552646,66.47560352573632,45.279999,19.04,5.116,7.965,8.464
